152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
152,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,57
152,-1,-1,-1,103,103,103,103,103,-1,-1,15,-1,-1,124,124,124,124,124,124,103,103
152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,152
152,-1,80,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,152
152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,152
152,-1,-1,-1,103,103,103,-1,-1,-1,103,138,138,138,138,138,103,-1,-1,-1,0,152
152,-1,-1,-1,152,152,152,-1,-1,-1,152,152,152,152,152,152,152,124,-1,-1,-1,152
152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,152
152,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,124,124,152
152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,152
152,-1,-1,-1,-1,103,103,138,138,138,103,103,103,103,103,103,103,103,103,103,103,103
152,103,103,103,103,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152
